"prof","slogan","politician","econ","name","race","sex","order","choice","sec","corrup","emp","id","age","sex_respondent","state","income","trust_civpol","trust_milpol","trust_congress","trust_minpub","trust_mayor","trust_vereadores","trust_army","legit_1","legit_2","legit_3","legit_4","legit_5","contact_civpol","contact_milpol","contact_guarda","contact_saude","contact_educ","crime_victim","problem_corruption","problem_health","problem_security","problem_inequality","problem_unemployment","problem_other","covid_eval","covid_contact","ideology_self","ideology_mayor","ideology_president","vote","pres_vote_2018","party_mayor","party_self","auth_1","auth_2","auth_3","auth_4","religion","race_respondent","city","cep","urban","education"
"professor","corruption","politician","left","Cecilia Machado","black","female",1,2,3,3,3,"R_11ao2EB0ByUgsVP",30,1,25,7,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,3,4,5,2,1,"Educação",2,9,0,7,7,3,2,1,10,1,2,2,1,1,"1","São Paulo","3164100",2,5
"professor","corruption","novice","left","Nicolas Duarte","black","male",1,1,3,4,3,"R_11aTm8FEZLZuCS1",17,2,7,3,4,4,3,3,3,3,4,2,2,1,1,2,1,2,1,1,4,3,3,1,2,5,4,"",4,2,6,5,7,2,1,17,13,2,2,1,1,2,"4","Brasília","72650000",2,3
"pastor","jobs","politician","left","Cecilia Machado","black","female",1,4,2,2,3,"R_11i8wWWE9CJYK8D",27,2,4,7,2,4,2,4,2,1,2,2,1,1,1,2,1,2,2,3,3,1,3,1,2,4,5,"Qualidade do ensino público",2,12,4,6,7,3,1,16,12,1,2,1,NA,4,"1","Manaus","69000000",2,3
"captain","jobs","novice","right","Cecilia Machado","white","female",1,2,1,1,1,"R_11YjTFqMV4EzAy9",7,1,14,7,1,1,1,4,1,1,1,1,1,1,2,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,"Não ",4,12,NA,NA,NA,3,2,11,1,NA,NA,1,2,4,"4","Salinopolis ","68721000",2,3
"pastor","corruption","politician","left","Bernardo Teixeira","pardo","male",1,3,3,3,3,"R_11ZqDxCfPBGymZi",5,2,19,7,4,4,2,2,2,2,4,3,3,4,2,3,1,1,3,3,3,2,5,2,4,1,3,"",3,4,4,5,3,2,10,17,12,2,1,1,2,4,"4","Niterói","24210050",2,3
"police","corruption","novice","right","Cecilia Machado","black","female",1,2,3,4,3,"R_125ffvZ5WJhg8GZ",62,1,17,6,3,3,3,1,4,3,5,5,5,2,1,3,1,1,1,1,1,2,1,2,3,4,5,"A falta de vergonha do Congresso e do STF",3,4,5,3,7,2,1,8,7,1,2,1,1,2,"1","Recife","51030-360",2,6
"professor","generic","politician","right","Hector Amaral","white","male",1,2,2,1,2,"R_129oonSeUwri6G5",40,1,16,3,2,5,1,1,3,3,5,3,4,2,4,2,1,1,1,1,2,1,3,1,4,5,2,"",1,3,6,1,7,2,1,17,12,1,NA,NA,NA,2,"1","Curitiba","81240270",2,3
"doctor","jobs","novice","right","Olívia Mendes","white","female",1,2,4,4,4,"R_12AxHSQ9WpZpPRF",43,1,22,2,5,5,2,3,2,2,5,5,5,5,5,5,1,2,1,3,1,1,1,2,3,4,5,"",1,12,NA,7,7,2,1,12,12,1,2,1,2,2,"5","Pimenta Bueno ","76970-000 ",2,2
"police","corruption","politician","right","Olívia Mendes","black","female",1,1,2,1,1,"R_12bzlQg1DfGxKnm",16,2,25,5,2,2,1,1,1,1,2,1,2,1,1,1,2,2,2,4,4,5,1,3,5,4,2,"Nao",2,6,2,1,2,1,9,17,12,1,2,1,2,11,"1","Sao paulo","9931340",2,5
"professor","jobs","novice","right","Hector Amaral","white","male",1,4,2,3,5,"R_12nlg752uGzBa9t",3,1,5,3,4,2,2,2,3,1,4,2,3,1,1,2,2,3,4,4,2,1,1,2,4,5,3,"Educação",2,5,4,6,7,2,9,16,12,1,2,2,2,4,"4","Salvador","41650400",2,3
"professor","corruption","politician","right","Nicolas Duarte","white","male",1,2,2,2,2,"R_12P8N0FBe76UiNv",6,1,5,3,2,1,1,4,1,1,1,1,2,2,1,1,1,1,1,2,4,1,3,4,5,1,2,"",2,5,1,6,7,3,3,1,12,1,2,1,2,4,"1","Vitória da Conquista","45026-022",2,5
"doctor","corruption","novice","left","Nicolas Duarte","pardo","male",1,3,3,2,1,"R_12PbDrcI6180YH5",49,1,17,1,3,3,1,1,1,1,3,3,3,1,3,1,1,1,1,4,1,1,NA,NA,NA,NA,NA,"Corrupçao",3,12,4,5,7,1,1,17,12,1,2,1,2,2,"3","Cabo de santo agostinho","54580190",2,3
"professor","jobs","novice","right","Cecilia Machado","white","female",1,1,3,4,5,"R_12SBfH566hPMLYc",44,1,25,3,2,2,1,1,3,1,5,4,4,1,1,2,1,1,1,1,1,2,1,2,3,4,5,"",3,11,NA,6,6,1,1,4,12,1,2,1,NA,11,"1","Sao paulo","3121020",2,3
"office","corruption","politician","left","Isabella Nunes","pardo","female",1,2,4,4,3,"R_12sdfKfiNpoysxE",2,1,11,7,4,5,3,3,2,3,5,2,4,5,3,5,1,1,1,1,3,1,1,3,2,5,4,"",4,1,NA,3,2,3,10,17,12,2,2,1,2,1,"1","Diamantino","78400000",2,3
"office","corruption","politician","left","Isabella Nunes","white","female",1,1,1,1,1,"R_1BSgUCoIIgfKi3N",21,1,13,7,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,3,4,5,2,"",1,1,NA,NA,NA,1,1,11,12,1,2,1,NA,1,"4","Juiz de Fora","36085570",2,5
"police","generic","politician","left","Isabella Nunes","pardo","female",1,4,5,2,4,"R_1C8dd7bCb1R75wD",14,1,5,7,2,1,2,4,3,2,3,1,1,1,1,1,1,1,1,2,3,2,1,2,3,4,5,"",1,1,3,4,4,1,4,4,12,1,2,1,2,2,"3","DIAS D´AVILA","428500000",2,3
"pastor","jobs","politician","left","Cecilia Machado","black","female",1,1,3,2,3,"R_1CdnlIpc13Zyk2d",11,1,3,1,3,3,3,3,3,3,3,5,3,3,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,"Saúde ambiental",3,1,4,5,NA,1,2,11,1,1,1,1,1,2,"4","Santana","68925144",1,3
"office","generic","politician","left","Cecilia Machado","white","female",1,1,1,1,1,"R_1CejCcKGKpLVuvg",22,1,19,3,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,4,5,2,"EDUCAÇÃO",4,12,4,4,2,1,9,3,12,2,1,1,1,6,"1","RIO DE JANEIRO","20765190",2,4
"police","generic","novice","right","Bernardo Teixeira","pardo","male",1,4,3,3,2,"R_1CfGN6CJTyehOjX",25,1,19,7,1,4,3,2,2,3,2,1,2,2,2,1,3,2,2,3,1,2,2,4,1,3,5,"Impunidade e cultura do estupro",4,2,2,6,7,2,6,17,10,1,2,2,2,4,"3","Araruama ","28976246",1,5
"office","generic","novice","left","Hector Amaral","white","male",1,4,1,2,4,"R_1CmcRCjKsQhV0SW",3,1,5,7,3,2,2,2,4,3,5,3,3,4,4,4,1,1,2,1,5,1,4,1,5,3,2,"",2,1,3,3,3,3,10,8,12,1,2,1,2,2,"4","Bom Jesus","4760000",2,3
"pastor","jobs","novice","right","Bernardo Teixeira","pardo","male",1,1,1,1,1,"R_1cTEcspCjkQ8wlD",9,2,16,5,4,4,3,4,4,3,4,2,4,4,3,2,1,1,1,1,3,1,3,4,5,1,2,"",2,6,3,6,2,2,5,17,12,NA,NA,1,NA,2,"1","Ponta Grossa","84020150",2,5
"police","generic","politician","right","Cecilia Machado","pardo","female",1,4,3,3,3,"R_1CvH6djitH4Sd5Q",38,2,21,5,5,5,1,2,1,2,4,4,2,1,1,1,2,NA,2,2,5,1,1,3,4,2,5,"Esquerdopatia ",1,12,4,5,1,3,1,4,8,1,1,2,2,2,"1","Estância ","Estância Velha ",2,6
"office","corruption","novice","left","Olívia Mendes","white","female",1,3,3,2,3,"R_1cYxfg5XJMDNLXK",19,2,19,7,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,2,4,2,1,2,3,5,4,"",3,9,NA,6,7,NA,10,17,12,NA,2,1,2,2,"1","","",1,5
"pastor","corruption","novice","left","Isabella Nunes","black","female",1,1,1,1,2,"R_1d0tt8TX7IreCDR",42,2,14,2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,2,2,1,1,2,3,5,4,"educação ",4,12,NA,1,7,1,5,14,12,NA,NA,2,NA,4,"4","Belém ","66 080 007 ",2,5
"police","jobs","novice","right","Cecilia Machado","white","female",1,1,2,1,1,"R_1dAplqzFscJBkJU",8,2,4,3,1,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,5,2,3,4,"5",1,NA,NA,NA,NA,1,2,4,1,2,NA,NA,NA,4,"4","Nhamundá ","69140-000 ",2,3
"office","corruption","politician","left","Bernardo Teixeira","pardo","male",1,4,3,3,3,"R_1dEIQMPlhcvjxdT",21,2,25,2,3,4,4,4,2,4,4,2,4,1,1,4,1,1,2,2,5,1,5,1,3,4,2,"Educação",4,12,5,3,1,3,3,4,12,NA,NA,1,NA,2,"4","São Paulo","5756360",2,4
"captain","jobs","politician","left","Isabella Nunes","white","female",1,4,4,2,3,"R_1DIiVOshF1mpHjR",47,1,25,3,4,4,3,4,4,3,4,4,4,3,2,2,1,1,1,2,3,1,NA,NA,NA,NA,NA,"não",4,12,5,NA,5,2,1,8,13,2,NA,1,NA,2,"1","Praia Grande SP","11706290",2,5
"professor","corruption","politician","right","Nicolas Duarte","black","male",1,3,3,3,3,"R_1DMaQqVog8lbcNw",21,1,16,3,2,4,2,2,4,2,5,4,3,2,4,4,2,1,2,3,3,1,1,2,3,5,4,"2",5,11,6,4,7,3,1,12,8,NA,NA,1,NA,2,"1","Cascavel ","85813620",2,5
"doctor","generic","novice","left","Hector Amaral","white","male",1,4,3,4,3,"R_1dMkvPFJ6zSi0uf",38,2,25,3,4,4,1,4,1,1,4,5,5,4,3,4,5,4,3,4,3,1,1,5,4,3,2,"Criação de leis mais rigorosas para quem pratica crimes e menos vitimização do réu,  obras que tenham menos tempo de criação e conclusão,  melhoria do bem estar de toda população e não só daqueles que estão em cargos para servi-los.",3,12,NA,2,6,2,10,4,12,1,2,1,1,6,"1","São Paulo ","02017-012 ",2,5
"police","jobs","novice","right","Cecilia Machado","black","female",1,1,5,1,2,"R_1dMsLSxJJhxcGBM",7,1,17,3,1,1,1,4,2,1,2,1,1,1,1,1,4,4,4,2,4,1,4,1,5,2,3,"",2,12,0,3,7,3,2,8,1,NA,NA,2,NA,1,"4","Garanhuns","55292200",2,5
"pastor","generic","politician","right","Olívia Mendes","pardo","female",1,1,2,2,1,"R_1du8TbtYITpRoS5",19,2,21,2,2,2,1,2,1,2,2,1,1,1,2,1,2,3,5,3,5,3,3,4,5,1,2,"Educação pública e fakenews",2,10,0,7,7,3,2,1,10,2,NA,2,1,1,"1","Tramandaí","95590000",2,5
"police","corruption","politician","right","Olívia Mendes","black","female",1,4,3,3,3,"R_1duFhTc2y66eKYC",18,2,17,3,4,3,3,4,3,3,4,1,1,2,1,1,2,2,1,2,1,2,1,2,3,4,5,"",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,"1","Jaboatão dos Guararapes","",2,5
"office","generic","novice","right","Bernardo Teixeira","white","male",1,3,3,4,1,"R_1dum64v6WgITfHq",1,2,13,7,2,3,1,3,1,2,4,2,3,4,2,4,1,1,1,2,2,1,3,1,4,2,5,"",1,NA,4,7,7,2,10,4,1,2,1,1,2,4,"1","patrocinio do muriae ","36860000",2,3
"professor","corruption","novice","left","Isabella Nunes","pardo","female",1,3,2,3,3,"R_1E6EQlidnQmVwwY",50,2,5,7,2,2,2,2,2,1,4,2,2,1,1,3,1,1,1,2,2,1,NA,NA,NA,NA,NA,"",3,6,0,6,7,2,2,5,1,1,1,1,2,2,"4","Feira de Santana","44007200",2,5
"professor","corruption","novice","right","Cecilia Machado","black","female",1,4,3,2,3,"R_1EaJjy6cPSVtGxr",37,2,7,3,2,4,1,4,2,2,4,2,2,3,4,4,1,1,2,2,1,1,1,2,3,4,5,"Educação e cidadania ",4,12,4,4,7,2,1,17,12,2,2,2,1,4,"1","Sobradinho ","73010-620 ",2,5
"pastor","corruption","politician","left","Olívia Mendes","white","female",1,1,4,3,2,"R_1EbWAJ6Jkw0sDxm",1,1,14,3,5,4,4,2,2,1,5,5,3,4,1,3,1,1,2,5,3,1,NA,NA,NA,NA,NA,"Não ",3,12,4,6,2,2,11,17,12,2,1,1,1,4,"4","Xinguara ","68555000",2,3
"doctor","jobs","novice","right","Olívia Mendes","black","female",1,1,1,1,1,"R_1eG1nLpqLEsMSmj",24,2,17,3,3,2,3,3,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,"Insegurança",4,2,6,1,7,1,3,16,12,1,1,1,1,2,"3","Recife","50860015",2,5
"office","jobs","novice","left","Hector Amaral","black","male",1,1,1,1,1,"R_1Eih4MMTvDqlYna",34,2,18,3,4,4,1,1,1,1,1,2,2,1,1,2,1,1,1,1,5,2,1,2,3,4,5,"EDUCAÇÃO",5,4,3,1,1,2,2,17,12,2,1,NA,NA,6,"4","TERESINA","64010823",2,3
"pastor","jobs","politician","left","Bernardo Teixeira","white","male",1,1,3,1,2,"R_1eKQ2tPO6uqkOtJ",26,1,19,3,4,4,1,4,4,3,5,4,3,3,4,4,2,2,3,4,5,1,1,2,5,3,4,"",3,3,4,5,7,2,1,13,4,1,2,2,2,1,"4","Rio de janeiro","23575000",2,4
"office","jobs","politician","right","Bernardo Teixeira","pardo","male",1,1,5,5,5,"R_1eQBi6RjkWUNOi4",4,2,21,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,"Desemprego",1,7,2,3,3,1,1,8,8,1,2,1,2,4,"4","Rio grande do Sul","95095440",1,2
"office","corruption","politician","left","Cecilia Machado","black","female",1,2,2,2,2,"R_1er7eieedXhHKef",6,1,20,3,4,3,1,3,2,1,3,4,4,3,1,1,1,1,1,1,1,2,1,3,2,5,4,"",3,4,4,3,6,2,1,17,12,1,2,1,2,1,"1","Macaíba","59280000",2,4
"doctor","corruption","politician","right","Bernardo Teixeira","black","male",1,3,3,4,4,"R_1etLkY2Vowyect3",39,2,7,3,5,5,3,3,3,4,5,2,4,1,1,2,1,1,1,2,1,2,NA,NA,NA,NA,NA,"",5,1,6,6,7,3,1,17,12,1,2,1,2,2,"4","Taguatinga","72152115",2,2
"pastor","generic","politician","right","Isabella Nunes","black","female",1,3,1,1,2,"R_1eWSmX2v4ocp8oG",6,2,25,3,2,2,1,1,1,1,2,2,3,1,2,1,1,1,2,5,2,1,2,1,3,5,4,"",3,4,4,6,7,3,1,4,12,2,2,2,1,6,"1","São Paulo","5143320",2,5
"police","generic","novice","right","Nicolas Duarte","black","male",1,4,4,4,3,"R_1exxpp7M0FyEIS6",50,1,17,7,4,4,1,4,3,1,5,2,3,2,1,2,1,1,1,3,4,1,1,2,3,4,5,"Congresso nacional, STF ,",4,4,6,1,7,3,1,3,12,1,2,1,2,2,"1","Jáboatao dos Guararapes","54270060",2,5
"office","corruption","politician","right","Cecilia Machado","black","female",1,4,3,2,1,"R_1ezuOEzAIPiXWYp",3,2,13,2,2,2,2,3,3,2,5,2,4,1,1,2,1,1,1,1,1,1,1,3,4,5,2,"Fome",2,4,4,3,7,2,11,16,12,1,2,1,2,1,"4","Sete Lagoas","35700640",2,3
"captain","generic","novice","right","Hector Amaral","pardo","male",1,1,2,2,2,"R_1f2Fa7gZs8Rj4rz",29,1,25,1,2,2,1,2,2,2,1,1,2,3,1,1,1,1,1,2,1,1,3,5,4,1,2,"",3,7,NA,1,7,2,1,4,12,1,2,1,2,1,"1","Santo André","9130440",2,3
"police","jobs","novice","left","Hector Amaral","black","male",1,4,4,4,3,"R_1F4hj9ay2n4v3bt",23,1,25,3,4,4,3,4,4,3,4,4,4,3,3,4,1,2,1,1,1,2,1,2,3,4,5,"",2,2,NA,5,7,2,1,4,12,1,2,1,1,2,"4","São Paulo","3348010",2,5
"professor","jobs","politician","right","Cecilia Machado","black","female",1,4,3,2,3,"R_1F56vDfS90HaS0X",14,1,13,1,3,4,2,2,2,1,4,4,4,3,2,3,1,2,1,2,1,1,3,4,2,5,1,"",2,3,2,5,3,2,1,4,2,NA,2,NA,2,2,"4","Bambuí","38900000",2,3
"police","jobs","novice","right","Nicolas Duarte","white","male",1,3,2,1,2,"R_1f8gSO12VaGPu95",37,1,19,2,4,4,1,4,4,4,5,2,2,2,1,1,1,1,1,1,1,1,4,2,1,5,3,"",5,12,NA,NA,NA,2,1,5,12,1,2,1,1,2,"1","RIO DE JANEIRO","20551080",2,5
"police","generic","novice","left","Olívia Mendes","black","female",1,3,1,4,3,"R_1fegXzy3qS2oTTe",2,2,25,1,2,2,3,3,1,3,4,1,2,1,1,1,1,2,1,3,2,1,5,2,3,4,1,"",3,NA,NA,NA,6,2,10,17,12,1,2,1,2,7,"4","Franca ","14404275",2,3
"pastor","jobs","politician","right","Hector Amaral","white","male",1,3,1,2,3,"R_1fg6VN5ytwyHehz",29,2,17,2,4,5,2,3,1,4,5,2,3,4,4,4,1,2,2,3,3,4,1,2,5,3,4,"Leis ultrapassadas",3,11,5,3,1,3,2,8,1,1,2,1,1,2,"1","Recife","51021540",2,5
"professor","generic","politician","left","Hector Amaral","white","male",1,2,1,1,1,"R_1FIzLEl3hHJwnCJ",5,2,20,3,4,1,4,2,3,1,1,4,5,4,4,4,5,2,2,4,5,2,NA,NA,NA,NA,NA,"Saude",5,4,4,5,1,2,2,11,1,1,1,1,2,11,"4","Baraúna ","59695000",1,3
"doctor","generic","politician","left","Nicolas Duarte","pardo","male",1,3,4,3,3,"R_1FJnkYEuCgy9Ni9",13,1,21,2,4,4,2,2,1,2,4,3,3,4,4,3,4,4,5,3,3,1,1,2,3,4,5,"",1,4,5,1,6,3,1,11,12,NA,NA,1,NA,4,"1","Sao Leopoldo ","93010080",2,5
"office","corruption","novice","left","Nicolas Duarte","white","male",1,3,3,4,3,"R_1FKyKQ747KO6BXD",21,2,9,7,3,3,4,4,4,3,3,4,4,2,1,2,1,1,1,1,2,1,1,3,5,4,2,"",4,3,6,5,7,3,1,1,12,2,2,1,1,5,"6","Valparaíso de Goiás ","71870130",2,5
"professor","corruption","novice","left","Hector Amaral","black","male",1,2,3,3,2,"R_1FnACmstmuUNZhL",51,1,21,3,4,4,3,4,4,3,5,2,4,4,2,1,1,1,1,2,2,1,1,2,3,5,4,"discriminação racial",4,8,4,5,4,2,1,1,12,1,2,1,1,2,"3","PORTO ALEGRE","91420230",2,4
"pastor","jobs","politician","right","Isabella Nunes","white","female",1,4,3,2,2,"R_1FOZEkS0kPXImGu",41,2,25,1,2,2,1,1,1,1,2,2,2,4,4,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,"mordomia de políticos",4,7,4,5,4,2,1,17,12,NA,2,NA,NA,1,"1","nova odessa","13381062",2,3
"professor","generic","politician","left","Isabella Nunes","pardo","female",1,4,2,3,2,"R_1FPrBJrrsayUQxs",5,1,13,3,4,5,1,2,2,2,5,2,2,3,3,2,1,2,1,3,1,2,4,1,3,5,2,"Racismo",1,NA,NA,NA,4,2,9,17,1,1,2,1,2,2,"3","Baependi ","37443000",2,3
"doctor","jobs","novice","left","Bernardo Teixeira","pardo","male",1,4,2,1,3,"R_1Fyaaw47qY1YiUq",24,1,25,3,3,2,1,3,2,1,4,1,2,1,1,1,1,1,1,2,4,1,5,4,2,3,1,"",5,7,1,7,7,2,2,4,12,1,1,1,2,4,"1","Santo André ","9180110",2,3
"professor","generic","politician","left","Hector Amaral","white","male",1,1,1,1,1,"R_1FyQaQ1nHgZkQv1",26,2,15,1,NA,NA,NA,3,NA,3,NA,4,4,4,1,4,1,1,1,1,3,1,4,1,5,2,3,"Não ",1,4,0,1,1,1,9,17,12,1,2,1,2,11,"1","João Pessoa ","58059000",2,3
"doctor","generic","politician","right","Nicolas Duarte","white","male",1,1,1,1,1,"R_1GB1qjqXBQBXc6t",28,2,25,7,5,4,1,2,1,1,5,5,5,1,1,4,1,1,1,1,1,1,2,3,4,5,1,"",2,2,NA,NA,NA,2,1,17,12,1,2,1,2,2,"1","São paulo","3930070",2,3
"doctor","corruption","politician","left","Olívia Mendes","white","female",1,3,3,3,3,"R_1gBkKB2lE1jt51I",24,2,25,7,3,3,2,2,3,2,3,2,2,1,1,1,1,2,2,3,4,1,5,1,3,4,2,"",3,12,0,5,7,3,10,17,1,1,2,1,2,6,"6","São Simão","14200000",1,3
"captain","corruption","novice","right","Isabella Nunes","black","female",1,4,3,1,1,"R_1gC4fieZwfiPwiH",30,1,7,2,2,2,3,2,4,4,2,2,3,1,3,1,2,2,1,2,2,2,NA,NA,NA,NA,NA,"",2,7,2,5,5,3,3,11,1,1,2,1,1,2,"4","taguatinga","719065000",2,3
"captain","generic","novice","left","Isabella Nunes","black","female",1,3,3,3,2,"R_1gcEZeUVcaFmhzv",9,2,9,2,4,3,2,2,2,1,4,2,2,3,2,3,1,1,1,2,2,1,1,5,4,2,3,"",2,5,3,NA,NA,2,2,17,12,1,2,1,1,2,"4","aparecida de goiânia","74910300",2,5
"office","generic","politician","left","Bernardo Teixeira","black","male",1,1,1,2,2,"R_1GCgemPQULjwDcg",45,2,16,3,2,2,2,2,2,2,2,2,2,3,1,3,1,1,1,1,1,2,1,2,3,4,5,"nada a declarar",5,4,6,6,NA,3,1,17,12,1,2,1,2,4,"1","Londrina","86020290",2,4
"pastor","generic","novice","left","Cecilia Machado","pardo","female",1,4,2,1,1,"R_1gi7xwWzZMSPoho",23,2,5,1,4,4,4,4,2,2,4,2,2,4,2,2,1,1,1,1,5,1,1,2,3,4,5,"Não",2,12,6,7,7,3,1,7,12,1,NA,1,1,4,"4","Vitória da conquista","45037358",2,3
"office","generic","novice","right","Isabella Nunes","black","female",1,2,2,3,1,"R_1GITznzZLMMNcs3",49,1,6,3,4,4,2,4,1,1,5,4,5,1,1,2,1,1,1,2,1,1,3,4,2,5,1,"",3,12,5,2,6,3,1,17,12,NA,NA,1,NA,6,"4","Fortaleza","60175341",2,3
"office","generic","novice","right","Bernardo Teixeira","black","male",1,1,2,2,2,"R_1gjubkzluBClrvV",7,1,10,7,5,4,4,3,3,3,5,4,4,4,4,4,1,1,1,1,4,1,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,2,6,4,2,1,2,1,2,4,"3","Urbano Santos","65530-000",2,5
"police","jobs","politician","right","Bernardo Teixeira","black","male",1,3,3,3,3,"R_1go5Rh3djPfrflL",5,1,7,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,4,5,3,1,"",4,1,3,4,4,2,11,11,12,NA,NA,NA,2,2,"3","Ibotirama ","47520000",2,5
"doctor","jobs","politician","right","Hector Amaral","white","male",1,2,1,2,1,"R_1gSgONq76tKpcyh",50,1,6,7,3,3,1,2,1,2,3,2,2,1,1,2,1,1,1,1,1,1,2,1,4,3,5,"A politica atual",1,11,NA,2,5,2,1,7,12,1,2,1,2,2,"1","Fortaleza","60.832-710",2,3
"doctor","corruption","politician","left","Olívia Mendes","black","female",1,1,1,1,1,"R_1guM6MAcSPlgO7w",51,1,25,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2,1,1,NA,NA,NA,NA,NA,"",3,1,NA,NA,NA,1,9,17,12,1,2,1,1,11,"1","campinas","13084460",2,5
"captain","generic","novice","left","Olívia Mendes","pardo","female",1,1,5,5,5,"R_1GVQpZH06v9ZmqO",39,2,25,7,4,5,1,4,1,1,3,5,5,3,1,5,1,1,1,2,3,2,5,1,3,4,2,"",1,6,0,7,5,3,5,4,1,1,2,1,1,2,"1,6","SAO PAULO","3920120",2,3
"pastor","corruption","novice","right","Nicolas Duarte","pardo","male",1,3,2,2,2,"R_1GwzL2ctScF5bvt",53,1,17,3,2,4,1,3,2,2,3,2,2,3,2,2,1,1,1,3,1,1,NA,NA,NA,NA,NA,"",3,7,3,4,4,3,1,3,4,NA,NA,1,2,2,"4","Petrolina ","56309412",1,2
