StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q11,Q12_1,Q12_2,Q12_3,Q14,Q15_1,Q15_2,Q15_3,Q17,Q18_1,Q18_2,Q18_3,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q21,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q27,Q28,Q29,Q30_1,Q30_2,Q30_3,Q31,Q32,Q33,Q34,Q35_1,Q35_2,Q35_3,Q35_4,Q36,Q37,Q38,Q39,Q40,Q41,Q43,Q46,Q47,Q48,mobile,vignette,race_1,race_2,race_3,sex_1,sex_2,sex_3,prof_1,prof_2,prof_3,slogan_1,slogan_2,slogan_3,vignettetext_1,vignettetext_2,politician_1,politician_2,politician_3,econ_1,econ_2,econ_3,name_1,name_2,name_3,intro,correct,incorrect,ticket,age_bracket
11/24/2021 16:17,11/24/2021 16:30,0,45.181.27.216,100,760,1,11/24/2021 16:30,R_339J5srcMGas8Xr,,,,,-8.036605835,-40.1295929,anonymous,PT,1,2,1,17,7,4,4,4,4,5,3,5,2,4,3,4,3,3,3,4,5,4,4,5,3,4,5,5,4,1,1,1,4,5,1,1,5,4,2,2,5,5,5,5,4,3,1,2,Falta de Oportunidade,5,2,7,4,1,3,2,4,1,1,2,1,2,2,"3,4",Ouricuri ,56200000,1,2,2,,,,yes,control,black,white,pardo,female,male,female,police,police,professor,corruption3,jobs3,generic2,,,politician,politician,politician,left,right,left,Isabella Nunes,Hector Amaral,Cecilia Machado,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito gerenciou o orçamento de maneira honesta,O prefeito estava desviando recursos públicos,4c51daadfcf24b11_d53c57ca5f074bd3_cfc8282d8f0bf020_4a8ff1a956d37e5df4d0e8d47c32b34e,1
11/24/2021 16:29,11/24/2021 16:31,0,179.212.239.223,100,97,1,11/24/2021 16:31,R_3NEtw7xmatBBjmY,,,,,-23.62660217,-46.563797,anonymous,PT,2,48,1,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control,white,black,pardo,male,male,female,professor,captain,police,generic1,jobs2,corruption3,,,politician,politician,politician,right,right,right,Hector Amaral,Nicolas Duarte,Isabella Nunes,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito gerenciou o orçamento de maneira honesta,O prefeito estava desviando recursos públicos,f0534bb6f1d3d3c2_d53c57ca5f074bd3_cfc8282d8f0bf020_70868367baaff4188ae7cf615c0cd5f5,
11/24/2021 16:20,11/24/2021 16:31,0,177.221.3.213,100,627,1,11/24/2021 16:31,R_2PbCDoy4CEQQLLi,,,,,-20.91549683,-47.0164032,anonymous,PT,1,20,2,13,1,1,1,1,2,5,4,1,5,4,3,2,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,5,1,5,3,4,4,5,1,3,5,4,2,Falta proteção ao menor e às mulheres ,5,6,6,6,7,3,1,17,12,,,1,,11,3,São Sebastião do paraíso ,37950000,2,5,1,Ngm cumpre promessa de reduzir desemprego ,Não sei,Nao,yes,control,white,white,black,male,female,female,captain,office,office,jobs3,generic3,corruption2,,,novice,novice,novice,right,right,right,Nicolas Duarte,Cecilia Machado,Olívia Mendes,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito gerenciou o orçamento de maneira honesta,O prefeito estava desviando recursos públicos,1f99ca8391478cd2_d53c57ca5f074bd3_cfc8282d8f0bf020_1fdca33c24235c6ec7fee84129f140e7,3
11/24/2021 16:18,11/24/2021 16:32,0,170.84.93.148,100,866,1,11/24/2021 16:32,R_4JCueb20tK6nhND,,,,,-4.354705811,-41.59170532,anonymous,PT,1,7,2,18,7,3,3,2,3,4,4,3,4,2,2,3,2,2,3,1,5,1,1,1,2,1,3,4,3,2,1,1,4,4,1,1,5,3,1,3,4,5,5,3,1,4,5,2,,2,1,4,1,4,3,2,11,1,1,2,1,2,2,4,Lagoa de São francisco pi ,64258000,1,2,2,,,,yes,control,black,white,white,female,female,male,captain,doctor,pastor,generic1,corruption2,generic3,,,novice,novice,novice,right,left,right,Olívia Mendes,Cecilia Machado,Nicolas Duarte,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito gerenciou o orçamento de maneira honesta,O prefeito estava desviando recursos públicos,ff0d6580f6f746fa_d53c57ca5f074bd3_cfc8282d8f0bf020_42caedbb58c10434001e518b3109bad2,1
11/24/2021 16:16,11/24/2021 16:32,0,177.185.184.228,100,995,1,11/24/2021 16:32,R_24dz0r598oaAIoP,,,,,-23.02079773,-45.55079651,anonymous,PT,1,45,1,25,7,5,5,1,3,3,3,5,5,5,5,4,5,5,5,4,2,5,5,4,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,1,5,5,5,1,2,3,4,5,Impunidade pir parte do judiciário ,3,2,7,6,7,3,1,17,12,1,2,1,2,11,1,Tremembé ,12120000,2,3,1,"Eu me enganei, na verdade é extremamente provável que votaria",Educação militar,Simpatizo com pessoas que exercem atividades militares e que visam segurança sem contar que as escolas militares são excelentes ,yes,treatment,pardo,pardo,white,male,female,female,captain,captain,captain,generic3,jobs3,jobs1,,,politician,politician,novice,right,right,left,Hector Amaral,Isabella Nunes,Cecilia Machado,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito estava desviando recursos públicos,O prefeito gerenciou o orçamento de maneira honesta,f462cb09fc738dd4_d53c57ca5f074bd3_cfc8282d8f0bf020_94deb29f30b2edc2008e2f6134a30c60,5
11/24/2021 16:16,11/24/2021 16:34,0,177.128.144.106,100,1080,1,11/24/2021 16:34,R_ey7ax5B3x8JHvQB,,,,,-23.05389404,-49.30259705,anonymous,PT,1,33,1,25,2,4,4,1,3,3,2,5,3,2,2,3,2,4,3,4,3,3,3,3,4,5,4,4,5,2,2,1,3,1,1,1,5,5,1,1,5,5,5,1,2,3,4,5,Racismo,3,6,,2,7,3,1,17,16,,,1,,2,1,Manduri,18780000,1,3,1,Falta de esperiencia,Falta articulação politica,Não,yes,treatment,white,black,pardo,male,male,female,doctor,doctor,professor,generic2,generic3,corruption3,,,novice,politician,politician,right,left,right,Bernardo Teixeira,Hector Amaral,Olívia Mendes,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito estava desviando recursos públicos,O prefeito gerenciou o orçamento de maneira honesta,df1a25939f42482d_d53c57ca5f074bd3_cfc8282d8f0bf020_8765c3ab65e3c805e3f30cff232a73a2,4
11/24/2021 16:17,11/24/2021 16:35,0,177.51.13.226,100,1060,1,11/24/2021 16:35,R_3hEBQQQNTPhJUuU,,,,,-5.811096191,-35.22349548,anonymous,PT,1,39,1,20,1,4,4,4,4,4,4,4,4,5,1,5,4,5,4,5,2,5,4,5,4,5,4,4,4,1,1,2,2,2,1,1,5,4,2,2,5,4,5,1,3,2,5,4,,4,11,5,5,5,3,1,8,1,1,2,1,1,2,1,Mossoró,59625080,2,2,1,Sem comentários,Sem comentários,Sem comentários,yes,control,pardo,black,white,female,female,female,captain,captain,doctor,corruption3,jobs2,corruption2,,,novice,novice,politician,right,right,left,Cecilia Machado,Isabella Nunes,Olívia Mendes,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito gerenciou o orçamento de maneira honesta,O prefeito estava desviando recursos públicos,3504286f227f7a7a_d53c57ca5f074bd3_cfc8282d8f0bf020_f5a7fb7828df9e4f032bfddc82adb10b,5
11/24/2021 16:17,11/24/2021 16:35,0,191.241.68.254,100,1080,1,11/24/2021 16:35,R_1OriOB3d7xFmCC8,,,,,-21.71749878,-41.78829956,anonymous,PT,1,8,2,19,7,4,5,3,3,3,1,5,3,2,1,1,2,1,1,1,1,1,1,,,,,,,1,1,1,2,2,1,1,,,,,,,,2,1,3,4,5,,3,,,,,3,10,17,12,1,2,,1,2,1,Campos dos Goytacazes ,28140000,2,3,1,,,,yes,treatment,black,pardo,black,female,female,male,pastor,doctor,office,generic3,jobs3,corruption2,,,politician,novice,politician,left,left,right,Cecilia Machado,Isabella Nunes,Nicolas Duarte,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito estava desviando recursos públicos,O prefeito gerenciou o orçamento de maneira honesta,7a226d1bd993a5a4_d53c57ca5f074bd3_cfc8282d8f0bf020_1b9dda8d9079c2e3f8a334bf5e46d926,2
11/24/2021 16:16,11/24/2021 16:36,0,179.48.125.46,100,1176,1,11/24/2021 16:36,R_3HFwb1Mlbczqu56,,,,,-4.404693604,-39.41749573,anonymous,PT,1,14,2,6,1,2,2,1,4,4,3,4,4,2,4,3,5,3,1,1,3,3,4,3,1,1,1,5,1,1,1,2,2,5,1,1,5,4,3,3,3,3,5,1,2,4,3,5,5,3,6,4,4,7,2,3,3,12,2,2,1,2,2,6,Canindé ,62700000,1,5,2,,,,yes,control,pardo,pardo,white,female,male,female,office,pastor,captain,generic1,corruption1,corruption2,,,novice,novice,novice,right,left,right,Isabella Nunes,Hector Amaral,Cecilia Machado,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito gerenciou o orçamento de maneira honesta,O prefeito estava desviando recursos públicos,b12f7026a6bda34a_d53c57ca5f074bd3_cfc8282d8f0bf020_d339d404a7984783c92867fce27264c6,2
11/24/2021 16:28,11/24/2021 16:36,0,177.37.85.100,100,489,1,11/24/2021 16:36,R_3qsoOhNiGdniLKb,,,,,-27.94490051,-50.35249329,anonymous,PT,1,9,2,24,1,3,4,1,3,1,2,4,5,1,2,3,5,3,2,2,5,2,2,3,1,2,3,4,2,1,1,1,3,1,1,2,3,2,2,2,3,2,3,1,2,3,4,5,,3,,6,3,6,3,1,17,12,2,2,1,2,11,6,Río do sul,89165637,2,5,2,,,,yes,control,white,pardo,pardo,female,female,male,captain,police,office,jobs3,jobs1,corruption3,,,politician,novice,politician,right,left,right,Olívia Mendes,Cecilia Machado,Hector Amaral,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito gerenciou o orçamento de maneira honesta,O prefeito estava desviando recursos públicos,338217865b05684b_d53c57ca5f074bd3_cfc8282d8f0bf020_8f0022c1b7f47613f352a10bc846cce7,2
11/24/2021 16:29,11/24/2021 16:37,0,179.96.223.10,100,504,1,11/24/2021 16:37,R_ZI6WWiLJsCrKmFH,,,,,-10.58610535,-37.11759949,anonymous,PT,1,14,1,26,1,4,1,1,4,1,1,4,5,1,1,1,5,1,1,1,5,1,1,1,1,1,5,5,3,1,1,1,3,1,1,1,5,1,1,1,5,1,1,3,2,5,4,1,O Presidente da República ,1,3,1,7,7,3,2,4,1,1,2,2,1,2,4,Siriri ,49630000,2,5,1,Acho oportunismo servidores públicos usarem dos cargos para se promoverem e entrarem para a política com a desculpa que pode fazer mais. Pode fazer muito mais em um cargo efetivo do que em um cargo eletivo que há necessidade de gastar dinheiro para obter votos e se eleger…,Ele não estaria de fato na função de combate à corrupção!,"Teria bem mais, por hora, serão só esses! ",yes,treatment,white,black,pardo,male,female,male,police,pastor,captain,corruption2,generic2,generic3,,,novice,novice,politician,right,right,right,Hector Amaral,Olívia Mendes,Nicolas Duarte,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito estava desviando recursos públicos,O prefeito gerenciou o orçamento de maneira honesta,593cf72cf4d61206_d53c57ca5f074bd3_cfc8282d8f0bf020_1834189b61c11778c7ded5db6118af3f,2
11/24/2021 16:15,11/24/2021 16:37,0,45.172.125.135,100,1338,1,11/24/2021 16:37,R_1kRNbG2EVUr5ESm,,,,,-10.9822998,-37.103302,anonymous,PT,1,6,2,26,1,5,3,3,2,3,1,4,2,4,2,5,4,2,3,1,4,3,2,1,4,3,5,3,4,1,1,1,2,1,1,1,5,5,3,1,5,4,5,1,2,3,5,4,,2,1,5,5,7,2,1,11,12,,,2,,4,1,Aracaju,49000519,2,4,1,"Por ser alguém sem experiência na política, eu iria avaliar sua conduta em serviço e decidir se votaria ou não nela","Por ser delegada, ela sabe como organizar e criar táticas para esse combate",,yes,treatment,pardo,black,white,female,female,male,police,professor,pastor,jobs1,corruption2,corruption1,,,novice,novice,politician,right,left,left,Isabella Nunes,Olívia Mendes,Hector Amaral,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito estava desviando recursos públicos,O prefeito gerenciou o orçamento de maneira honesta,4ad66303c915920d_d53c57ca5f074bd3_cfc8282d8f0bf020_f51aaf3fee019aa794651de895ee3439,1
